ISIN CODE,NAME,No,Country of Domicile
ID1000066004,ASTRA AGRO LESTARI ,1,INDONESIA
ID1000125503,ASPIRASI HIDUP ,2,INDONESIA
ID1000111305,ALAMTRI RESOURCES ,3,INDONESIA
ID1000106701,AKR CORPORINDO ,4,INDONESIA
ID1000122807,ASTRA INTERNATIONAL ,5,INDONESIA
ID1000106602,ANEKA TAMBANG TBK PT ,6,INDONESIA
ID1000085707,BARITO PACIFIC ,7,INDONESIA
ID1000109507,BANK CENTRAL ASIA ,8,INDONESIA
ID1000094204,BANK DANAMON INDO ,9,INDONESIA
ID1000095003,BANK MANDIRI ,10,INDONESIA
ID1000068703,BUMI RESOURCES ,11,INDONESIA
ID1000096605,BANK NEGARA ,12,INDONESIA
ID1000118201,BANK RAKYAT INDO ,13,INDONESIA
ID1000110802,BUMI SERPONG DAMAI ,14,INDONESIA
ID1000113707,BANK TABUNGAN` ,15,INDONESIA
ID1000105604,GLOBAL ME ,16,INDONESIA
ID1000116700,INDOFOOD CBP SUKSES ,17,INDONESIA
ID1000106800,SEMEN INDONESIA ,18,INDONESIA
ID1000068604,GUDANG GARAM TBK ,19,INDONESIA
ID1000097405,INDOSAT TBK PT ,20,INDONESIA
ID1000109309,PT VALE IND ,21,INDONESIA
ID1000057003,INDOFOOD SUKSES ,22,INDONESIA
ID1000062201,INDAH KIAT PULP ,23,INDONESIA
ID1000074008,HANJAYA ,24,INDONESIA
ID1000061302,INDOCEMENT TUNG ,25,INDONESIA
ID1000108509,INDO TAMBANGRAYA ,26,INDONESIA
ID1000060403,PABRIK KERTAS TJIWI,27,INDONESIA
ID1000108103,JASA MARGA (PERSERO) ,28,INDONESIA
ID1000125107,KALBE FARMA TBK PT ,29,INDONESIA
ID1000113301,MATAHARI DEPARTMENT ,30,INDONESIA
ID1000106206,MEDIA NUSAN ,31,INDONESIA
ID1000111602,PERUSAHAAN GAS ,32,INDONESIA
ID1000122500,PAKUWON JATI ,33,INDONESIA
ID1000108905,LIPPO KARAWA ,34,INDONESIA
ID1000117708,CHAROEN POKPHAND ,35,INDONESIA
ID1000129000,TELKOM ,36,INDONESIA
ID1000125305,SURYA CITRA MEDIA ,37,INDONESIA
ID1000128804,SARANA MENARA ,38,INDONESIA
ID1000092406,SUMMARECON AGUNG ,39,INDONESIA
ID1000094006,BUKIT ASAM ,40,INDONESIA
ID1000116908,TOWER BERSAMA ,41,INDONESIA
ID1000095706,UNILEVER IND ,42,INDONESIA
ID1000058407,UNITED TRACTORS ,43,INDONESIA
ID1000126105,WASKITA KARYA ,44,INDONESIA
ID1000102502,PT XL AXIATA TBK ,45,INDONESIA
JP3122400009,ADVANTEST CORP ,46,JAPAN
JP3726800000,JAPAN TOBACCO INC. ,47,JAPAN
JP3111200006,ASAHI KASEI ,48,JAPAN
JP3108060009,ACCESS CO ,49,JAPAN
JP3108600002,ACOM CO LTD ,50,JAPAN
JP3131430005,"AEON MALL CO., LTD. ",51,JAPAN
JP3131400008,AEON FINANCIAL ,52,JAPAN
JP3112000009,AGC INC ,53,JAPAN
JP3105040004,AIFUL CORP ,54,JAPAN
JP3119600009,AJINOMOTO CO INC ,55,JAPAN
JP3117700009,MEBUKI FINANCIAL ,56,JAPAN
JP3126400005,ALPS ALPINE ,57,JAPAN
JP3126340003,ALFRESA HOLDINGS ,58,JAPAN
JP3122800000,AMADA CO LTD ,59,JAPAN
JP3429800000,ANA HOLDINGS INC ,60,JAPAN
JP3106200003,AOYAMA TRADING CO ,61,JAPAN
JP3711200000,AOZORA BANK LTD ,62,JAPAN
JP3768600003,HASEKO CORP ,63,JAPAN
JP3110650003,ASAHI INTECC CO ,64,JAPAN
JP3116000005,ASAHI GROUP ,65,JAPAN
JP3389900006,JAFCO GROUP CO LTD ,66,JAPAN
JP3172500005,AUTOBACS SEVEN CO ,67,JAPAN
JP3659200004,NISHIMATSU CONST. CO ,68,JAPAN
JP3937200008,AZBIL CORP ,69,JAPAN
JP3830000000,BROTHER INDUSTRIES ,70,JAPAN
JP3676800000,NISSHIN SEIFUN ,71,JAPAN
JP3161200005,EZAKI GLICO CO LTD ,72,JAPAN
JP3830800003,BRIDGESTONE CORP ,73,JAPAN
JP3289800009,"KOBE STEEL, LTD. ",74,JAPAN
JP3935600001,YAMAZAKI BAKING CO. ,75,JAPAN
JP3220580009,CALBEE ,76,JAPAN
JP3218900003,CAPCOM CO LTD ,77,JAPAN
JP3209000003,CASIO COMPUTER CO ,78,JAPAN
JP3424950008,TOKYO CENTURY CORP ,79,JAPAN
JP3511800009,"CHIBA BANK, LTD. ",80,JAPAN
JP3305530002,COMSYS HOLDINGS CORP ,81,JAPAN
JP3409000001,SUMITOMO REALTY/DEV. ,83,JAPAN
JP3526600006,CHUBU ELECTRIC POWER ,84,JAPAN
JP3242800005,CANON INC. ,85,JAPAN
JP3992400006,WACOAL HOLDINGS CORP ,86,JAPAN
JP3298000005,COSMO ENERGY HOLD ,87,JAPAN
JP3305960001,COLOPL INC ,88,JAPAN
JP3165700000,NTT DATA GROUP CORP ,89,JAPAN
JP3305990008,CONCORDIA F ,90,JAPAN
JP3519400000,CHUGAI PHARMAC ,91,JAPAN
JP3249600002,KYOCERA CORPORATION ,92,JAPAN
JP3243600008,CANON MARKETING ,93,JAPAN
JP3298400007,COSMOS PHARMACEUT ,94,JAPAN
JP3522200009,CHUGOKU ELECTRIC ,95,JAPAN
JP3352400000,CITIZEN WATCH CO LTD ,96,JAPAN
JP3528600004,CHIYODA CORP ,97,JAPAN
JP3311400000,CYBER AGENT INC ,98,JAPAN
JP3475350009,DAIICHI SANKYO ,99,JAPAN
JP3481800005,DAIKIN INDUSTRIES ,100,JAPAN
JP3440400004,DAIO PAPER CORP ,101,JAPAN
JP3548660004,DCM HOLDINGS ,102,JAPAN
JP3476480003,DAI-ICHI LIFE HOLD,103,JAPAN
JP3500610005,RESONA HOLDINGS INC ,104,JAPAN
JP3485800001,DAICEL CORP ,105,JAPAN
JP3496400007,KDDI CORP ,106,JAPAN
JP3551500006,DENSO CORP ,107,JAPAN
JP3548610009,DENA CO LTD ,108,JAPAN
JP3551520004,DENTSU GRO ,109,JAPAN
JP3497400006,DAIFUKU CO LTD ,110,JAPAN
JP3505000004,DAIWA HOUSE INDUSTRY ,111,JAPAN
JP3549070005,DIGITAL GARAGE INC ,112,JAPAN
JP3499800005,MITSUBISHI HC ,113,JAPAN
JP3548600000,DISCO CORPORATION ,114,JAPAN
JP3486800000,DAITO TRUST CONSTR. ,115,JAPAN
JP3491000000,DAIDO STEEL CO LTD ,116,JAPAN
JP3638600001,DOWA HOLDINGS CO ,117,JAPAN
JP3639650005,PAN PACIFIC ,118,JAPAN
JP3493800001,DAI NIPPON PRINTING ,119,JAPAN
JP3495000006,SUMITOMO PHARMA ,120,JAPAN
JP3336600006,SUNDRUG CO LTD ,121,JAPAN
JP3502200003,DAIWA SECURITIES ,122,JAPAN
JP3802400006,FANUC LTD. ,123,JAPAN
JP3046390005,DAIWA HOUSE REIT ,124,JAPAN
JP3311530004,CYBERDYNE INC ,125,JAPAN
JP3783600004,EAST JAPAN RAILWAY ,126,JAPAN
JP3166000004,EBARA CORP ,127,JAPAN
JP3549600009,DENKA CO LTD ,128,JAPAN
JP3164470001,EDION CORP ,129,JAPAN
JP3765400001,HOUSE SHOKUHIN ,130,JAPAN
JP3297000006,"KOKUYO CO., LTD. ",131,JAPAN
JP3419400001,SEKISUI CHEMICAL CO. ,132,JAPAN
JP3560800009,TOKAI CARBON CO. ,133,JAPAN
JP3402600005,SUMITOMO METAL MNG. ,134,JAPAN
JP3835620000,BENESSE HOLDING ,135,JAPAN
JP3164630000,SQUARE ENIX ,136,JAPAN
JP3494600004,SCREEN HOLDINGS ,137,JAPAN
JP3551200003,ELECTRIC POWER DEV ,138,JAPAN
JP3493400000,DIC CORPORATION ,139,JAPAN
JP3160400002,EISAI CO LTD ,140,JAPAN
JP3118000003,ASICS CORPORATION ,141,JAPAN
JP3820000002,FUJI ELECTRIC ,142,JAPAN
JP3814800003,SUBARU CORP ,143,JAPAN
JP3814000000,FUJIFILM HOLDINGS ,144,JAPAN
JP3818000006,FUJITSU LIMITED ,145,JAPAN
JP3827200001,FURUKAWA ELECTRIC CO ,146,JAPAN
JP3805010000,FUKUOKA FINANCIAL ,147,JAPAN
JP3816600005,FUJI SOFT INC ,148,JAPAN
JP3743000006,NH FOODS LTD ,149,JAPAN
JP3826800009,"FURUKAWA CO., LTD. ",150,JAPAN
JP3274070006,GREE HOLDINGS ,151,JAPAN
JP3811000003,FUJIKURA LTD. ,152,JAPAN
JP3235900002,GUNGHO ONLINE ENTMT ,153,JAPAN
JP3274150006,SHIP HEALTHCARE ,154,JAPAN
JP3742600004,"NHK SPRING CO., LTD. ",155,JAPAN
JP3274400005,GLORY LTD ,156,JAPAN
JP3047510007,GLP TOSHI HOJIN ,157,JAPAN
JP3276400003,GUNMA BANK LTD ,158,JAPAN
JP3385890003,GMO PAYMENT GATEWAY ,159,JAPAN
JP3452000007,TAIYO YUDEN CO. LTD. ,160,JAPAN
JP3385820000,GS YUASA CORP ,161,JAPAN
JP3270000007,KURITA WATER INDS. ,162,JAPAN
JP3275200008,GUNZE LTD ,163,JAPAN
JP3769000005,HACHIJUNI BANK LTD ,164,JAPAN
JP3788600009,"HITACHI, LTD. ",165,JAPAN
JP3766550002,HAKUHODO DY HLDGS ,166,JAPAN
JP3842400008,HOKUHOKU FIN GRP ,167,JAPAN
JP3783420007,"HIKARI TSUSHIN, INC. ",168,JAPAN
JP3160740001,HIS CO LTD ,169,JAPAN
JP3786200000,"HITACHI METALS, LTD. ",170,JAPAN
JP3774600005,H2O RETAILING CORP ,171,JAPAN
JP3774200004,HANKYU HANSHIN ,172,JAPAN
JP3854600008,"HONDA MOTOR CO., LTD ",173,JAPAN
JP3845400005,HOKURIKU ELEC. POWER ,174,JAPAN
JP3837800006,HOYA CORP ,175,JAPAN
JP3796150005,HIROGIN HOLDINGS ,176,JAPAN
JP3784600003,HISAMITSU PHARMA ,177,JAPAN
JP3845770001,HOSHIZAKI ,178,JAPAN
JP3787000003,HITACHI CONSTRUCTION ,179,JAPAN
JP3360800001,HULIC CO ,180,JAPAN
JP3850200001,HOKKAIDO ELECTRIC ,181,JAPAN
JP3906000009,MINEBEA MITSUMI INC ,182,JAPAN
JP3148800000,"IBIDEN CO., LTD. ",183,JAPAN
JP3142500002,IDEMITSU KOSAN CO ,184,JAPAN
JP3684000007,NITTO DENKO CORP ,185,JAPAN
JP3134800006,IHI CORP ,186,JAPAN
JP3131090007,IIDA GROUP ,187,JAPAN
JP3137200006,ISUZU MOTORS LIMITED ,188,JAPAN
JP3942600002,YAMAHA CORP ,189,JAPAN
JP3294460005,INPEX CORP ,190,JAPAN
JP3229400001,KANSAI PAINT CO. ,191,JAPAN
JP3143600009,ITOCHU CORP ,192,JAPAN
JP3152740001,ABC-MART INC,193,JAPAN
JP3143000002,ITO EN LTD ,194,JAPAN
JP3143900003,ITOCHU TECHNO-SOL,195,JAPAN
JP3164800009,NOK CORP ,196,JAPAN
JP3397200001,SUZUKI MOTOR CORP ,197,JAPAN
JP3389660006,JAPAN DIS ,199,JAPAN
JP3705200008,JAPAN AIRLINES ,200,JAPAN
JP3385980002,JSR CORP ,201,JAPAN
JP3151600008,IWATANI CORP ,202,JAPAN
JP3386030005,JFE HOLDINGS INC ,203,JAPAN
JP3725400000,ZEON CORP ,204,JAPAN
JP3667600005,JGC HOLDINGS CORP ,205,JAPAN
JP3946750001,JAPAN POST BAN ,206,JAPAN
JP3421100003,JAPAN PETROLEUM ,207,JAPAN
JP3752900005,JAPAN POST ,208,JAPAN
JP3233250004,JAPAN POST IN ,209,JAPAN
JP3040890000,JAPAN PRIME REALTY ,210,JAPAN
JP3582600007,TOKYO TATEMONO CO. ,211,JAPAN
JP3574200006,TOKYU CORPORATION ,212,JAPAN
JP3566800003,CENTRAL JAPAN ,213,JAPAN
JP3027680002,JAPAN REAL ESTATE ,214,JAPAN
JP3039710003,JAPAN METROPOL ,215,JAPAN
JP3896800004,MITSUBISHI GAS CHEM ,216,JAPAN
JP3388200002,AEON CO LTD ,217,JAPAN
JP3699400002,JAPAN AIRPORT TERM ,218,JAPAN
JP3717600005,NIPPON SHINYAKU CO. ,219,JAPAN
JP3721400004,JAPAN STEEL WORKS ,220,JAPAN
JP3386450005,ENEOS HOLDINGS ,221,JAPAN
JP3902000003,MITSUBISHI LOGISTICS ,222,JAPAN
JP3205800000,KAO CORP ,223,JAPAN
JP3206000006,KAKAKU.COM INC ,224,JAPAN
JP3258000003,KIRIN HOLDINGS CO ,225,JAPAN
JP3291200008,KOBE BUSSAN CO LTD ,226,JAPAN
JP3210200006,KAJIMA CORP ,227,JAPAN
JP3228600007,KANSAI ELEC. POWER ,228,JAPAN
JP3279400000,KEIHAN HOLDINGS ,229,JAPAN
JP3244800003,KEWPIE ,230,JAPAN
JP3236200006,KEYENCE CORP ,231,JAPAN
JP3246500007,KYUSHU FINANC ,232,JAPAN
JP3215800008,KANEKA CORP ,233,JAPAN
JP3256000005,KYOWA KIRIN CO LTD ,234,JAPAN
JP3280200001,KEIKYU CO ,235,JAPAN
JP3695200000,"NGK INSULATORS, LTD. ",236,JAPAN
JP3263000006,KINDEN CORP ,237,JAPAN
JP3260800002,KINTETSU GROUP HOLD ,238,JAPAN
JP3293200006,COCA-COLA BOTTLERS,239,JAPAN
JP3223800008,KAWASAKI KISEN ,240,JAPAN
JP3304200003,KOMATSU LTD. ,241,JAPAN
JP3219000001,"KAMIGUMI CO., LTD. ",242,JAPAN
JP3240400006,KIKKOMAN CORPORATION ,243,JAPAN
JP3868400007,MAZDA MOTOR CORP ,244,JAPAN
JP3301100008,KOBAYASHI PHARMA ,245,JAPAN
JP3283460008,KOEI TECMO HOLDINGS ,246,JAPAN
JP3305800009,KOMORI CORP ,247,JAPAN
JP3300200007,KONAMI GROUP CORP ,248,JAPAN
JP3300600008,KONICA MINOLTA INC ,249,JAPAN
JP3421800008,"SECOM CO., LTD. ",250,JAPAN
JP3247010006,KYUSHU RAILWAY CO ,251,JAPAN
JP3738600000,NITERRA ,252,JAPAN
JP3278600006,KEISEI ELECTRIC RAIL ,253,JAPAN
JP3277800003,KEIO CORP ,254,JAPAN
JP3253900009,KYORITSU MAINTENANCE ,255,JAPAN
JP3266400005,KUBOTA CORPORATION ,256,JAPAN
JP3224200000,KAWASAKI HEAVY INDS. ,257,JAPAN
JP3203500008,ONWARD HOLDINGS ,258,JAPAN
JP3979200007,LASERTEC CORPORATION ,260,JAPAN
JP3982100004,LAWSON INC ,261,JAPAN
JP3965400009,LION CORPORATION ,262,JAPAN
JP3626800001,LIXIL CORP ,263,JAPAN
JP3903000002,MITSUBISHI MATERIALS ,264,JAPAN
JP3733400000,NIPPON ELEC. GLASS ,265,JAPAN
JP3580200008,TOKYO SEIMITSU CO. ,266,JAPAN
JP3863800003,MATSUI SECURITIES ,267,JAPAN
JP3869010003,MATSUMOTOKIYOSHI ,268,JAPAN
JP3897700005,MITSUBISHI CHEM ,269,JAPAN
JP3870000001,MABUCHI MOTOR CO. ,270,JAPAN
JP3750500005,MCDONALD'S HOLDINGS ,271,JAPAN
JP3167500002,LEOPALACE21 CORP ,272,JAPAN
JP3899600005,MITSUBISHI ESTATE CO ,273,JAPAN
JP3268950007,MEDIPAL HOLDINGS ,274,JAPAN
JP3919200000,MEITEC GROUP ,275,JAPAN
JP3918000005,MEIJI HOLDINGS ,276,JAPAN
JP3921290007,MERCARI INC ,277,JAPAN
JP3888400003,MITSUI MINING ,278,JAPAN
JP3900000005,MITSUBISHI HEAVY IND ,279,JAPAN
JP3866800000,PANASONIC HOLDINGS ,280,JAPAN
JP3893200000,MITSUI FUDOSAN CO. ,281,JAPAN
JP3910660004,TOKIO MARINE ,282,JAPAN
JP3891600003,MITSUI E&S ,283,JAPAN
JP3885400006,MISUMI GROUP INC ,284,JAPAN
JP3902900004,MITSUBISHI UFJ FIN ,285,JAPAN
JP3880800002,"MIURA CO., LTD. ",286,JAPAN
JP3882750007,"MIXI, INC ",287,JAPAN
JP3885780001,MIZUHO FINANCIAL GRP ,288,JAPAN
JP3862400003,MAKITA CORPORATION ,289,JAPAN
JP3899800001,MITSUBISHI MOTORS ,290,JAPAN
JP3922950005,"MONOTARO, CO.,LTD ",291,JAPAN
JP3362700001,MITSUI OSK LINES ,292,JAPAN
JP3877600001,MARUBENI CORP ,293,JAPAN
JP3871200006,MARUICHI STEEL TUBE ,294,JAPAN
JP3890310000,MS&AD INSURANCE ,295,JAPAN
JP3893600001,"MITSUI & CO., LTD. ",296,JAPAN
JP3386380004,J FRONT RETAILIN ,297,JAPAN
JP3778630008,BANDAI NAMCO ,298,JAPAN
JP3651210001,NABTESCO CORPORATION ,299,JAPAN
JP3734800000,NIDEC CORP ,300,JAPAN
JP3653000004,NANKAI ELEC. RAILWAY ,301,JAPAN
JP3649800004,NAGOYA RAILROAD CO. ,302,JAPAN
JP3670800006,NISSAN CHEMICAL CORP ,303,JAPAN
JP3678000005,NISSHINBO HOLD ,304,JAPAN
JP3675600005,NISSIN FOODS HOLD ,305,JAPAN
JP3663900003,SOJITZ CORP ,306,JAPAN
JP3715200006,NIPPON SHOKUBAI CO. ,307,JAPAN
JP3732200005,NIPPON TELEVISION ,308,JAPAN
JP3733000008,NEC CORP ,309,JAPAN
JP3165000005,SOMPO HOLDINGS INC ,310,JAPAN
JP3762600009,NOMURA HOLDINGS INC ,311,JAPAN
JP3689050007,NIHON M&A CENTER INC ,312,JAPAN
JP3762800005,NOMURA RESEARCH ,313,JAPAN
JP3756600007,NINTENDO CO LTD ,314,JAPAN
JP3661800007,NICHICON CORP ,315,JAPAN
JP3723000000,NIPPN CORP ,316,JAPAN
JP3721600009,NIPPON PAPER ,317,JAPAN
JP3047550003,NIPPON PROLOGIS RE ,318,JAPAN
JP3749400002,NIPPON PAINT HOLD ,319,JAPAN
JP3672400003,NISSAN MOTOR CO. ,320,JAPAN
JP3762900003,NOMURA REAL ESTATE ,321,JAPAN
JP3048110005,NOMURA REAL ,322,JAPAN
JP3673600007,NIPRO CORP ,323,JAPAN
JP3720800006,NSK LTD ,324,JAPAN
JP3381000003,NIPPON STEEL CORP ,325,JAPAN
JP3165600002,NTN CORP ,326,JAPAN
JP3756100008,NITORI HOLDINGS ,327,JAPAN
JP3735400008,NIPPON TELEGRAPH ,328,JAPAN
JP3694400007,NIPPON KAYAKU CO. ,329,JAPAN
JP3940400009,YAMATO KOGYO CO. ,330,JAPAN
JP3758190007,NEXON CO LTD ,332,JAPAN
JP3753000003,NIPPON YUSEN K.K. ,333,JAPAN
JP3190000004,OBAYASHI CORP ,334,JAPAN
JP3027670003,NIPPON BUILDING FUND ,335,JAPAN
JP3173400007,"OBIC CO., LTD. ",336,JAPAN
JP3449020001,TAIHEIYO CEMENT CORP ,337,JAPAN
JP3292200007,JTEKT CORP ,338,JAPAN
JP3194800003,OKUMURA CORP ,339,JAPAN
JP3940000007,YAMATO HOLDINGS CO ,340,JAPAN
JP3174410005,OJI HOLDINGS ,341,JAPAN
JP3194000000,OKI ELECTRIC INDS. ,342,JAPAN
JP3201200007,OLYMPUS CORP ,343,JAPAN
JP3792600003,HINO MOTORS LTD ,344,JAPAN
JP3197800000,OMRON CORP ,345,JAPAN
JP3180400008,"OSAKA GAS CO., LTD. ",346,JAPAN
JP3689500001,ORACLE CORP. JAPAN ,347,JAPAN
JP3198900007,ORIENTAL LAND CO. ,348,JAPAN
JP3200450009,ORIX CORP ,349,JAPAN
JP3040880001,ORIX JREIT INC ,350,JAPAN
JP3283650004,KOSE CORP ,351,JAPAN
JP3183200009,JAPAN EXCHANGE ,352,JAPAN
JP3188220002,OTSUKA HOLDINGS ,353,JAPAN
JP3188200004,OTSUKA CORP ,354,JAPAN
JP3657400002,NIKON CORPORATION ,355,JAPAN
JP3172100004,OKUMA CORP ,356,JAPAN
JP3405400007,SUMITOMO HEAVY INDS. ,357,JAPAN
JP3780100008,"PARK24 CO., LTD. ",358,JAPAN
JP3320800000,SAPPORO HOLDINGS LTD ,359,JAPAN
JP3888300005,MITSUI CHEMICALS INC ,360,JAPAN
JP3836750004,PEPTIDREAM ,361,JAPAN
JP3284600008,"KOITO MFG. CO., LTD. ",362,JAPAN
JP3771800004,HAMAMATSU PHOTONICS ,363,JAPAN
JP3801600002,PIGEON CORP ,364,JAPAN
JP3170800001,OSG CORP ,365,JAPAN
JP3855900001,POLA ORBIS HOLDINGS ,366,JAPAN
JP3627000007,TODA CORP ,367,JAPAN
JP3197600004,ONO PHARMACEUTICAL ,368,JAPAN
JP3629000005,TOPPAN HOLDINGS INC ,369,JAPAN
JP3160670000,AIR WATER INC ,370,JAPAN
JP3967200001,RAKUTEN GROUP INC ,371,JAPAN
JP3637300009,TREND MICRO INCORP. ,372,JAPAN
JP3164720009,RENESAS ELECTRON ,373,JAPAN
JP3755200007,RELO GROUP INC ,374,JAPAN
JP3974450003,"RESORT TRUST, INC. ",375,JAPAN
JP3802300008,FAST RETAILING CO ,376,JAPAN
JP3571400005,TOKYO ELECTRON LTD. ,377,JAPAN
JP3973400009,"RICOH COMPANY, LTD. ",378,JAPAN
JP3970300004,RECRUIT HOLDINGS ,379,JAPAN
JP3977400005,RINNAI CORP ,380,JAPAN
JP3269600007,"KURARAY CO., LTD. ",381,JAPAN
JP3822000000,H.U. GROUP HOLDING ,382,JAPAN
JP3982800009,ROHM CO LTD ,383,JAPAN
JP3966800009,ROUND ONE CORP. ,384,JAPAN
JP3799000009,HIROSE ELECTRIC CO. ,385,JAPAN
JP3536150000,TSURUHA HOLDINGS INC ,386,JAPAN
JP3597800006,TOBU RAILWAY CO. ,387,JAPAN
JP3665200006,NICHIREI CORP ,388,JAPAN
JP3431300007,NXERA PHARMA CO ,389,JAPAN
JP3326410002,SANKYO CO LTD (6417) ,390,JAPAN
JP3344400001,SANWA HOLDINGS ,391,JAPAN
JP3336560002,SUNTORY BEVERAGE ,392,JAPAN
JP3401400001,SUMITOMO CHEMICAL CO ,393,JAPAN
JP3420600003,"SEKISUI HOUSE, LTD. ",394,JAPAN
JP3417200007,SEIBU HOLDINGS ,395,JAPAN
JP3271400008,CREDIT SAISON CO. ,396,JAPAN
JP3414750004,SEIKO EPSON ,397,JAPAN
JP3132600002,SENSHU IKEDA ,398,JAPAN
JP3419050004,SEGA SAMMY HLDNGS ,399,JAPAN
JP3422950000,SEVEN & I HLDGS CO ,400,JAPAN
JP3105220002,"SEVEN BANK, LTD. ",401,JAPAN
JP3436120004,SBI HOLDINGS INC ,402,JAPAN
JP3436100006,SOFTBANK GROUP CORP ,403,JAPAN
JP3686800008,NIPPON SHEET GLASS ,404,JAPAN
JP3162770006,SG HOLDINGS CO LTD ,405,JAPAN
JP3359600008,SHARP CORPOR ,406,JAPAN
JP3729000004,SBI SHINSEI BANK LTD ,407,JAPAN
JP3351600006,"SHISEIDO CO., LTD. ",408,JAPAN
JP3358200008,"SHIMAMURA CO., LTD. ",409,JAPAN
JP3358000002,SHIMANO INC. ,410,JAPAN
JP3398000004,"SUZUKEN CO., LTD. ",411,JAPAN
JP3350800003,SHIKOKU ELECTRIC PWR ,412,JAPAN
JP3329600005,SANKEN ELECTRIC CO. ,413,JAPAN
JP3914400001,MURATA MANUFACTURING ,414,JAPAN
JP3162600005,SMC CORP ,415,JAPAN
JP3890350006,SUMITOMO MITSUI ,416,JAPAN
JP3892100003,,417,JAPAN
JP3435750009,M3 INC ,418,JAPAN
JP3435000009,SONY GROUP CORP ,419,JAPAN
JP3732000009,SOFTBANK CORP ,420,JAPAN
JP3375800004,SHINKO ELECTRIC IND. ,421,JAPAN
JP3431900004,SOHGO SECURITY SERV ,422,JAPAN
JP3347200002,"SHIONOGI & CO., LTD. ",423,JAPAN
JP3343200006,SANRIO COMPANY LTD ,424,JAPAN
JP3352000008,SEVENTY-SEVEN BANK,425,JAPAN
JP3399400005,STANLEY ELECTRIC CO. ,426,JAPAN
JP3399310006,ZOZO INC ,427,JAPAN
JP3407400005,SUMITOMO ELECTRIC ,428,JAPAN
JP3400400002,SCSK CORP ,429,JAPAN
JP3411000007,"SURUGA BANK, LTD. ",430,JAPAN
JP3404200002,SUMITOMO RUBBER IND. ,431,JAPAN
JP3407200009,OSAKA TITANIUM ,432,JAPAN
