ISIN CODE,NAME,No,Country of Domicile
JP3368000000,RESONAC HOLDINGS ,433,JAPAN
JP3358800005,SHIMIZU CORPORATION ,434,JAPAN
JP3463000004,TAKEDA PHAR CO LTD ,435,JAPAN
JP3539220008,T&D HOLDINGS INC ,436,JAPAN
JP3442850008,TAISHO PHARM. ,437,JAPAN
JP3443600006,TAISEI CORP ,438,JAPAN
JP3538800008,TDK CORP ,439,JAPAN
JP3585800000,TOKYO ELECTRIC POWER ,440,JAPAN
JP3546800008,TERUMO CORP ,441,JAPAN
JP3569200003,TOKYU FUDOSAN ,442,JAPAN
JP3588600001,TBS HOLDINGS INC ,443,JAPAN
JP3539250005,"THK CO., LTD. ",444,JAPAN
JP3600200004,"TOHO GAS CO., LTD. ",445,JAPAN
JP3566600007,TOKAI RIKA CO. LTD. ,446,JAPAN
JP3104890003,TIS INC ,447,JAPAN
JP3544000007,TEIJIN LIMITED ,448,JAPAN
JP3456000003,"TAKASHIMAYA CO., LTD ",449,JAPAN
JP3579800008,TOKYO STEEL MFG. CO. ,450,JAPAN
JP3547670004,PERSOL HOLDINGS ,451,JAPAN
JP3711600001,NIPPON SANSO ,452,JAPAN
JP3351100007,SYSMEX CORPORATION ,453,JAPAN
JP3619800000,"TOYOBO CO., LTD. ",454,JAPAN
JP3598600009,TOHO CO LTD (TOKYO) ,455,JAPAN
JP3602600003,TOHO HOLDINGS ,456,JAPAN
JP3625000009,TOKUYAMA CORPORATION ,457,JAPAN
JP3613000003,TOYO SUISAN KAISHA ,458,JAPAN
JP3596200000,TOTO LTD. ,459,JAPAN
JP3613400005,TOYO SEIKAN GROUP ,460,JAPAN
JP3621000003,TORAY INDUSTRIES ,461,JAPAN
JP3592200004,TOSHIBA CORPORATION ,462,JAPAN
JP3595200001,TOSOH CORP ,463,JAPAN
JP3535800001,TSUMURA & CO. ,464,JAPAN
JP3601800000,TOHO TITANIUM CO. ,465,JAPAN
JP3459600007,TAKARA HOLDING ,466,JAPAN
JP3634600005,TOYOTA INDUSTRIES ,467,JAPAN
JP3635400009,TOYOTA BOSHOKU CORP ,468,JAPAN
JP3634200004,TOYODA GOSEI CO. ,469,JAPAN
JP3633400001,TOYOTA MOTOR CORP ,470,JAPAN
JP3635000007,TOYOTA TSUSHO CORP ,471,JAPAN
JP3573000001,"TOKYO GAS CO., LTD. ",472,JAPAN
JP3158800007,UBE CORP ,473,JAPAN
JP3371200001,SHIN-ETSU CHEMICAL,474,JAPAN
JP3870400003,MARUI GROUP CO ,475,JAPAN
JP3404600003,SUMITOMO CORP ,476,JAPAN
JP3605400005,TOHOKU ELEC. POWER ,477,JAPAN
JP3902400005,MITSUBISHI ELECTRIC ,478,JAPAN
JP3322930003,SUMCO CORP ,479,JAPAN
JP3951600000,UNICHARM CORP ,480,JAPAN
JP3156400008,USHIO INC. ,481,JAPAN
JP3944130008,USS CO LTD ,482,JAPAN
JP3045540006,UNITED URBAN INVEST ,483,JAPAN
JP3246400000,KYUSHU ELECTRIC ,484,JAPAN
JP3196000008,ODAKYU ELECTRIC RAIL ,485,JAPAN
JP3819400007,FUJI MEDIA HOLDING ,486,JAPAN
JP3144000001,ITOCHU ENEX CO LTD ,487,JAPAN
JP3274280001,WELCIA HOLDINGS CO ,488,JAPAN
JP3659000008,WEST JAPAN RAILWAY ,489,JAPAN
JP3230600003,"KANDENKO CO., LTD. ",490,JAPAN
JP3955000009,YOKOGAWA ELECTRIC ,491,JAPAN
JP3336000009,SANTEN PHARMACEUT'L ,492,JAPAN
JP3939000000,YAMADA ,493,JAPAN
JP3931600005,YAKULT HONSHA CO. ,494,JAPAN
JP3930200005,YAOKO CO LTD ,495,JAPAN
JP3932000007,YASKAWA ELECTRIC ,496,JAPAN
JP3933800009,LY CORP ,497,JAPAN
JP3415400005,SEINO HOLDINGS CO ,498,JAPAN
JP3942800008,YAMAHA MOTOR CO. ,499,JAPAN
JP3935300008,YAMAGUCHI FINL GRP ,500,JAPAN
JP3976300008,RYOHIN KEIKAKU CO. ,501,JAPAN
JP3955800002,YOKOHAMA RUBBER CO ,502,JAPAN
JP3942400007,ASTELLAS PHARMA INC ,503,JAPAN
JP3400900001,SUMITOMO OSAKA CEM. ,505,JAPAN
JP3425000001,CENTRAL GLASS CO LTD ,506,JAPAN
JP3898400001,MITSUBISHI CORP ,507,JAPAN
JP3102000001,AISIN CORP ,508,JAPAN
JP3357200009,SHIMADZU CORP ,509,JAPAN
JP3894900004,ISETAN MITSUKOSHI ,510,JAPAN
HK0000069689,AIA GROUP LIMITED ,512,HONG KONG
HK0101000591,HANG LUNG PROPERTIES ,513,HONG KONG
KYG0535Q1331,ASMPT LTD ,514,HONG KONG
KYG1674K1013,BUDWEISER BREWING ,515,HONG KONG
HK0023000190,BANK OF EAST ASIA ,516,HONG KONG
HK0392044647,BEIJING ENTERPRISES ,517,HONG KONG
KYG4387E1070,HEALTH AND HA ,518,HONG KONG
HK2388011192,BOC HONG KONG ,519,HONG KONG
SG9999015267,BOC AVIATION LTD ,520,SINGAPORE
KYG126521064,BOSIDENG INTERNATIO ,521,HONG KONG
BMG1744V1037,CAFE DE CORAL ,522,HONG KONG
HK0293001514,CATHAY PACIFIC AIR ,523,HONG KONG
BMG1368B1028,BRILLIANCE ,524,HONG KONG
BMG210901242,CHINA WATER AFFAIRS ,525,HONG KONG
KYG2046Q1156,CHAODA MODERN ,526,HONG KONG
KYG2108Y1052,CHINA RESOURCES LAND ,527,HONG KONG
KYG2163M1033,CHINA EDUCATION ,528,HONG KONG
HK0257001336,CHINA EVERBRIGHT ,529,HONG KONG
KYG217651051,CK HUTCHISON ,530,HONG KONG
BMG2108M2182,CHINESE ESTATES HLDG ,531,HONG KONG
BMG2108V1019,CHINA ORIENTAL GROUP ,532,HONG KONG
HK0291001490,CHINA RESOURCES ,533,HONG KONG
KYG2112D1051,CHINA HIGH SPEED ,534,HONG KONG
HK0000055878,CHINA TAIPING INSU ,535,HONG KONG
BMG2178K1009,CK INFRASTRU ,536,HONG KONG
KYG2177B1014,CK ASSET HOLDINGS ,537,HONG KONG
HK0002007356,CLP HOLDINGS LTD ,538,HONG KONG
HK0119000674,POLY PROPERTY GR ,539,HONG KONG
HK0688002218,CHINA OVERSEAS LAND ,540,HONG KONG
KYG2118M1096,CHINA OVERSEAS PROP ,541,HONG KONG
HK2380027329,CHINA POWER INTN'L ,542,HONG KONG
KYG2113L1068,CHINA RES ,543,HONG KONG
HK2778034606,CHAMPION REIT ,544,HONG KONG
HK0836012952,CHINA HUARONG ,545,HONG KONG
KYG2116D1198,CHINA RESOURCES PHAR ,546,HONG KONG
HK0000311099,CHINA STATE CONSTN ,547,HONG KONG
KYG216771363,,548,HONG KONG
KYG211461085,CHOW TAI FOOK ,549,HONG KONG
HK1883037637,CITIC 1616 HOLDINGS ,550,HONG KONG
HK0308001558,CHINA TRAVEL INT'L ,551,HONG KONG
HK0440001847,DAH SING FINANCIAL ,553,HONG KONG
HK2356013600,DAH SING BANKING ,554,HONG KONG
KYG319891092,ESR GROUP LTD ,556,HONG KONG
HK0000077468,FAR EAST ,557,HONG KONG
HK0639031506,SHOUGANG ,558,HONG KONG
BMG2442N1048,COSCO SHIPPING ,559,HONG KONG
BMG348041077,FIRST PACIFIC CO LTD ,561,HONG KONG
HK0817039453,CHINA JINMAO ,562,HONG KONG
KYG3774X1088,GCL TECHNOLOGY ,563,HONG KONG
BMG6901M1010,GIORDANO INT'L LTD ,564,HONG KONG
HK0270001396,GUANGDONG INVESTMENT ,565,HONG KONG
BMG420981224,GUOCO GROUP LTD ,566,HONG KONG
BMG9880L1028,YUEXIU TRAN ,568,HONG KONG
HK0144000764,CHINA MERCHANTS PO ,569,HONG KONG
HK0012000102,HENDERSON LAND ,570,HONG KONG
KYG960071028,WH GROUP LTD ,571,HONG KONG
KYG451581055,HKBN LTD ,572,HONG KONG
HK0003000038,HONG KONG AND CHINA ,573,HONG KONG
HK0000179108,HK ELECTRIC ,574,HONG KONG
HK0006000050,POWER ASSETS ,575,HONG KONG
HK0388045442,HONG KONG EXCHANGES ,576,HONG KONG
HK0000093390,HKT TRUST ,577,HONG KONG
HK0004000045,WHARF HOLDINGS LTD ,578,HONG KONG
HK0010000088,HANG LUNG GROUP LTD ,579,HONG KONG
BMG4600H1198,HOPSON DEVELOPMENT ,580,HONG KONG
KYG8088A1168,SHENZHEN INV ,581,HONG KONG
HK0011000095,HANG SENG BANK LTD ,582,HONG KONG
KYG4672G1064,HUTCHISON TELECOM ,583,HONG KONG
HK0014000126,HYSAN DEVELOPMENT CO ,584,HONG KONG
KYG6771K1022,IGG INC ,585,SINGAPORE
HK0165000859,,586,HONG KONG
BMG0171W1055,ALIBABA PICTURES ,587,HONG KONG
BMG2109G1033,CHINA GAS HOLDINGS ,588,HONG KONG
KYG5139G1001,JIAYUAN INTERNATION ,589,HONG KONG
BMG5150J1577,JOHNSON ELECTRIC ,590,HONG KONG
BMG524401079,KERRY PROPERTIES LTD ,591,HONG KONG
KYG5257K1076,KINGBOARD LAMI ,592,HONG KONG
KYG525621408,KINGBOARD HOLDINGS ,593,HONG KONG
BMG524181036,KLN LOGISTICS ,594,HONG KONG
KYG548561284,LIFESTYLE INTN'L ,595,HONG KONG
KYG8406X1034,SSY GROUP LTD ,596,HONG KONG
KYG5427W1309,LEE & MAN PAPER MFG ,597,HONG KONG
BMG2113B1081,,598,HONG KONG
HK0823032773,LINK REIT ,599,HONG KONG
KYG3777B1032,GEELY AUTOMOBILE ,600,HONG KONG
BMG4404N1149,CHINA RUYI HLDG ,601,HONG KONG
HK0200030994,MELCO INT'L DEV'T ,602,HONG KONG
KYG210961051,CHINA MENGNIU DAIRY ,603,HONG KONG
HK0066009694,MTR CORPORATION LTD ,604,HONG KONG
BMG653181005,NINE DRAGONS PAPER ,605,HONG KONG
HK0000608585,NEW WORLD DEV'T ,606,HONG KONG
BMG677491539,ORIENT OVERSEAS ,607,HONG KONG
KYG8972T1067,TG SMART ENERGY ,608,HONG KONG
BMG668971101,CTF SERVICES LTD ,609,HONG KONG
BMG6260K1595,MONGOLIA ,610,HONG KONG
BMG5320C1082,KUNLUN ENERGY ,611,HONG KONG
BMG684371393,PACIFIC BASIN SHIP ,612,HONG KONG
HK0027032686,GALAXY ENT GRP LTD ,613,HONG KONG
BMG1985B1138,C C LAND HOLDINGS ,614,HONG KONG
KYG7814S1021,SA SA INTERNATIONAL ,615,HONG KONG
KYG8167W1380,SINO BIOPHARMCL ,616,HONG KONG
BMG2154F1095,CHINA FOODS LTD ,617,HONG KONG
HK0000065737,CHINA OVERSEAS G ,618,HONG KONG
BMG8086V1467,SHENZHEN INT'L HLDG ,619,HONG KONG
KYG810431042,SHIMAO GROUP ,620,HONG KONG
HK0016000132,SUN HUNG KAI ,621,HONG KONG
BMG0171K1018,ALIBABA HEALTH ,622,HONG KONG
HK0242001243,SHUN TAK HLDGS LTD ,623,HONG KONG
HK0604011236,SHENZHEN INVESTMENT ,624,HONG KONG
KYG8187G1055,SITC INTERNATIONAL ,625,HONG KONG
BMG8165U1009,SINOPEC KANTONS ,626,HONG KONG
HK0083000502,SINO LAND COMPANY ,627,HONG KONG
BMG4639H1227,HUABAO INT'L HLDGS ,628,HONG KONG
HK0363006039,SHANGHAI INDUSTRIAL ,629,HONG KONG
HK0880043028,SJM HOLDINGS LIMITED ,630,HONG KONG
BMG8181C1001,SKYWORTH GR ,631,HONG KONG
BMG8063F1068,SHANGRI ,632,HONG KONG
BMG5266H1034,KINGSTON FINANCIAL ,633,HONG KONG
HK0000063609,SWIRE PROPERTIES ,634,HONG KONG
HK0019000162,SWIRE PACIFIC LTD ,635,HONG KONG
BMG2164J1099,YOUZAN TECHNO ,636,HONG KONG
BMG4232X1020,HAITONG INTL SEC ,637,HONG KONG
HK0008011667,PCCW LTD ,638,HONG KONG
HK0669013440,TECHTRONIC INDUS ,639,HONG KONG
HK0000139300,TELEVISION BROADCAST ,640,HONG KONG
HK0000049939,CHINA UNICOM ,641,HONG KONG
KYG9361V1086,VINDA INTERNATIONAL ,642,HONG KONG
HK0345001611,VITASOY INTERNAT ,643,HONG KONG
BMG9400S1329,VTECH HOLDINGS LTD ,644,HONG KONG
BMG0957L1090,,645,HONG KONG
BMG8403G1033,SINOFERT HOLDINGS ,647,HONG KONG
HK0000056256,CHINA TRADITIONAL ,648,HONG KONG
KYG9593A1040,WHA ,649,HONG KONG
KYG450481083,HENGDELI HOLD ,650,HONG KONG
KYG9828G1082,XINYI GLASS HLDGS ,651,HONG KONG
BMG988031446,YUE YUEN INDUSTRIAL ,652,HONG KONG
KR7000810002,SAMSUNG FIRE & MARIN ,653,SOUTH KOREA
KR7196170005,ALTEOGEN INC ,654,SOUTH KOREA
KR7090430000,AMOREPACIFIC ,655,SOUTH KOREA
KR7011210002,HYUNDAI WIA CORP ,656,SOUTH KOREA
KR7241560002,DOOSAN BOBCAT ,657,SOUTH KOREA
KR7207940008,SAMSUNG BIOLOGICS ,658,SOUTH KOREA
KR7027410000,BGF CO LTD ,659,SOUTH KOREA
KR7282330000,BGF RETAIL CO LTD ,660,SOUTH KOREA
KR7034730002,SK INC ,661,SOUTH KOREA
KR7030000004,CHEIL WORLDWIDE INC ,662,SOUTH KOREA
KR7267270007,HD HYUNDAI CONSTR ,663,SOUTH KOREA
KR7001040005,CJ CORP ,664,SOUTH KOREA
KR7097950000,CJ CHEILJEDANG CORP ,665,SOUTH KOREA
KR7091990002,CELLTRION HEALTHCARE ,666,SOUTH KOREA
KR7028260008,SAMSUNG C&T ,667,SOUTH KOREA
KR7026960005,DONG SUH COMPANIES ,668,SOUTH KOREA
KR7012510004,DOUZONE BIZON CO LTD ,669,SOUTH KOREA
KR7071050009,KOREA INV HLDGS ,670,SOUTH KOREA
KR7001800002,ORION HOLDINGS CORP ,671,SOUTH KOREA
KR7001230002,DONGKUK HOLDINGS ,672,SOUTH KOREA
KR7000210005,DL HOLDINGS ,673,SOUTH KOREA
KR7042670000,HD HYUNDAI ,674,SOUTH KOREA
KR7003470002,YUANTA SECURITIES ,675,SOUTH KOREA
KR7006800007,MIRAE ASSET ,676,SOUTH KOREA
KR7035720002,KAKAO CORP ,677,SOUTH KOREA
KR7004800009,HYOSUNG CORP ,678,SOUTH KOREA
KR7139480008,E-MART INC,679,SOUTH KOREA
KR7081660003,MISTO HOLDINGS ,680,SOUTH KOREA
KR7010120004,LS ELECTRIC CO ,681,SOUTH KOREA
KR7086280005,HYUNDAI GLOVIS ,682,SOUTH KOREA
KR7007070006,GS RET ,683,SOUTH KOREA
KR7078930005,GS HOLDINGS CORP ,684,SOUTH KOREA
KR7006260004,LS CORPORATION ,685,SOUTH KOREA
KR7012330007,HYUNDAI MOBIS ,686,SOUTH KOREA
KR7018880005,HANON SYSTEMS ,687,SOUTH KOREA
KR7294870001,HDC HY ,688,SOUTH KOREA
KR7000720003,HYUNDAI ENGINEERING ,689,SOUTH KOREA
KR7069960003,HYUNDAI DEPARTMENT ,690,SOUTH KOREA
KR7005380001,HYUNDAI MOTOR CO ,691,SOUTH KOREA
KR7009240003,HANSSEM CO. ,692,SOUTH KOREA
KR7086790003,HANA FINANCIAL GROUP ,693,SOUTH KOREA
KR7057050007,HYUNDAI HOME ,694,SOUTH KOREA
KR7097230007,HJSC ,695,SOUTH KOREA
KR7000240002,HANKOOK TECH ,696,SOUTH KOREA
KR7008560005,MERITZ SECURITIES CO ,697,SOUTH KOREA
KR7011200003,HMM CO LTD ,698,SOUTH KOREA
KR7020000006,HANDSOME ,699,SOUTH KOREA
KR7010620003,HD HYUNDAI MIPO ,700,SOUTH KOREA
KR7008930000,HANMI SCIENCE CO ,701,SOUTH KOREA
KR7001450006,HYUNDAI M & F INS. ,702,SOUTH KOREA
KR7011170008,LOTTE CHEMICAL CORP ,703,SOUTH KOREA
KR7128940004,HANMI PHARMACEUTICAL ,704,SOUTH KOREA
KR7009540006,HD KOREA SHIP ,705,SOUTH KOREA
KR7009830001,HANWHA SOLUTIONS ,706,SOUTH KOREA
KR7012630000,HDC HOLDINGS CO LTD ,707,SOUTH KOREA
KR7000660001,SK HYNIX INC ,708,SOUTH KOREA
KR7024110009,IND BANK OF KOREA ,709,SOUTH KOREA
KR7004020004,HYUNDAI STEEL CO ,710,SOUTH KOREA
KR7214320004,INNOCEAN WORLD ,711,SOUTH KOREA
KR7175330000,JB FINANCIAL GROUP ,712,SOUTH KOREA
KR7000080002,HITEJINRO CO LTD ,713,SOUTH KOREA
KR7066570003,LG ELECTRONICS INC ,714,SOUTH KOREA
KR7215600008,SILLAJEN INC ,715,SOUTH KOREA
KR7054950001,JVM CO LTD ,716,SOUTH KOREA
KR7003490000,KOREAN AIR LINES CO ,717,SOUTH KOREA
KR7005830005,DB INSURANCE CO LTD ,718,SOUTH KOREA
KR7000270009,KIA CORP ,719,SOUTH KOREA
KR7015760002,KOREA ELECTRIC POWER ,720,SOUTH KOREA
KR7004000006,LOTTE FINE CHEMICAL ,721,SOUTH KOREA
KR7105560007,KB FINANCIAL GROUP ,722,SOUTH KOREA
KR7034020008,DOOSAN ENERBILITY ,723,SOUTH KOREA
KR7002380004,KCC CORP ,724,SOUTH KOREA
KR7011780004,KUMHO PETRO ,725,SOUTH KOREA
KR7088350004,HANWHA LIFE INS ,726,SOUTH KOREA
KR7032500001,KMW CO LTD ,727,SOUTH KOREA
KR7003690005,KOREAN REINSURANCE ,728,SOUTH KOREA
KR7051600005,KEPCO PLANT ,729,SOUTH KOREA
KR7028300002,HLB INC ,730,SOUTH KOREA
KR7000880005,HANWHA CORP ,731,SOUTH KOREA
KR7036460004,KOREAGASCORP ,732,SOUTH KOREA
KR7000120006,CJ LOGISTICS CORP ,733,SOUTH KOREA
KR7010130003,KOREA ZINC INC ,734,SOUTH KOREA
KR7010060002,OCI HOLDINGS ,735,SOUTH KOREA
KR7033780008,KT & G CORP ,736,SOUTH KOREA
KR7030200000,KT CORP ,737,SOUTH KOREA
KR7035250000,KANGWON LAND INC ,738,SOUTH KOREA
KR7005300009,LOTTE CHILSUNG BEVER ,739,SOUTH KOREA
KR7051910008,LG CHEM LTD ,740,SOUTH KOREA
KR7006360002,GS ENGINEERING ,741,SOUTH KOREA
KR7003550001,LG CORP ,742,SOUTH KOREA
KR7093050003,LF CORP ,743,SOUTH KOREA
KR7032640005,LG UPLUS CORP ,744,SOUTH KOREA
KR7034220004,"LG DISPLAY CO., LTD. ",745,SOUTH KOREA
KR7011070000,LG INNOTEK CO ,746,SOUTH KOREA
KR7051900009,LG H&H CO LTD ,747,SOUTH KOREA
KR7028150001,GS HOME SHOPPING INC ,748,SOUTH KOREA
KR7285130001,SK CHEMICALS CO LTD ,749,SOUTH KOREA
KR7004990008,LOTTE CORP ,750,SOUTH KOREA
KR7023530009,LOTTE SHOPPING ,751,SOUTH KOREA
KR7005940002,NH INVESTMENT ,752,SOUTH KOREA
KR7068760008,CELLTRION PHARM INC ,753,SOUTH KOREA
KR7060980000,HL HOLDINGS CORP ,754,SOUTH KOREA
KR7204320006,HL MANDO CORP ,755,SOUTH KOREA
KR7086900008,MEDYTOX INC ,756,SOUTH KOREA
KR7036570000,NCSOFT CORP ,757,SOUTH KOREA
KR7035420009,NAVER CORP ,758,SOUTH KOREA
KR7004370003,"NONGSHIM CO., LTD. ",759,SOUTH KOREA
KR7251270005,NETMARBLE CORP ,760,SOUTH KOREA
KR7000060004,MERITZ FIRE & MARINE ,761,SOUTH KOREA
KR7271560005,ORION ,762,SOUTH KOREA
KR7047050000,POSCO INTERNATIONAL ,763,SOUTH KOREA
KR7000150003,DOOSAN CORP ,764,SOUTH KOREA
KR7161390000,HANKOOK ,765,SOUTH KOREA
KR7068270008,"CELLTRION, INC. ",766,SOUTH KOREA
KR7042660001,HANWHA OCEAN CO LTD ,767,SOUTH KOREA
KR7007310006,OTOKI CORP ,768,SOUTH KOREA
KR7034230003,PARADISE COMPANY ,769,SOUTH KOREA
KR7002790004,AMOREPACIFIC GROUP ,770,SOUTH KOREA
KR7005490008,POSCO HOLDINGS INC ,771,SOUTH KOREA
KR7003670007,POSCO FUTURE ,772,SOUTH KOREA
KR7267250009,HD HYUNDAI CO LTD ,773,SOUTH KOREA
KR7096770003,SK ENERGY ,774,SOUTH KOREA
KR7012750006,S-1 CORP,775,SOUTH KOREA
KR7006400006,SAMSUNG SDI CO LTD ,776,SOUTH KOREA
KR7009150004,SAMSUNG ELECTRO-MECH,777,SOUTH KOREA
KR7056190002,SFA ENGINEERING ,778,SOUTH KOREA
KR7032830002,SAMSUNG LIFE ,779,SOUTH KOREA
KR7012450003,HANWHA AEROSP ,780,SOUTH KOREA
KR7004170007,SHINSEGAE ,781,SOUTH KOREA
KR7028050003,SAMSUNG E&A CO ,782,SOUTH KOREA
KR7001740000,SK NETWORKS CO ,783,SOUTH KOREA
KR7005930003,SAMSUNG ELECTRONICS ,784,SOUTH KOREA
KR7055550008,SHINHAN FINANCIAL GR ,785,SOUTH KOREA
KR7008770000,HOTEL SHILLA CO. ,786,SOUTH KOREA
KR7011790003,"SKC CO., LTD. ",787,SOUTH KOREA
KR7017670001,SK TELECOM CO LTD ,788,SOUTH KOREA
KR7010140002,SAMSUNG HEAVY IND ,789,SOUTH KOREA
KR7035760008,CJ ENM CO LTD ,790,SOUTH KOREA
KR7019170000,SHIN POONG PHARM. ,791,SOUTH KOREA
KR7028670008,PAN OCEAN CO ,792,SOUTH KOREA
KR7029780004,SAMSUNG CARD CO LTD ,793,SOUTH KOREA
KR7010950004,S-OIL CORP,794,SOUTH KOREA
KR7016360000,SAMSUNG SECURITIES ,795,SOUTH KOREA
KR7046890000,SEOUL SEMICONDUCTOR ,796,SOUTH KOREA
KR7018260000,SAMSUNG SDS CO LTD ,797,SOUTH KOREA
KR7084990001,HELIXMITH CO LTD ,798,SOUTH KOREA
KR7316140003,WOORI FINA ,799,SOUTH KOREA
KR7021240007,COWAY CO ,800,SOUTH KOREA
KR7047040001,DAEWOO ENGINEERING ,801,SOUTH KOREA
KR7000100008,YUHAN CORP ,802,SOUTH KOREA
KR7111770004,YOUNGONE CORP ,803,SOUTH KOREA
KR7263750002,PEARLABYSS CORP ,804,SOUTH KOREA
KR7138930003,BNK FINANCIAL ,805,SOUTH KOREA
KR7047810007,KOREA AEROSPACE ,806,SOUTH KOREA
KR7139130009,DGB FINANCIAL ,807,SOUTH KOREA
KR7181710005,NHN CORP ,808,SOUTH KOREA
KR7071840003,LOTTE HIMART CO LTD ,809,SOUTH KOREA
MYL6399OO009,ASTRO MALAYSIA ,810,MALAYSIA
MYL5657OO001,PARKSON HOLDINGS ,811,MALAYSIA
MYL1015OO006,AMMB HOLDINGS BERHAD ,812,MALAYSIA
MYL5210OO009,BUMI ARMADA BHD ,813,MALAYSIA
MYL2291OO002,GENTING PLANTATIONS ,814,MALAYSIA
MYL5099OO006,CAPITAL A BERHAD ,815,MALAYSIA
MYL5248OO009,BERMAZ AUTO BHD ,816,MALAYSIA
MYL3395OO000,BERJAYA CORP ,817,MALAYSIA
MYL1562OO007,SPORTS TOTO BHD ,818,MALAYSIA
MYL1818OO003,BURSA MALAYSIA BHD ,819,MALAYSIA
MYL2836OO004,CARLSBERG BREWERY ,820,MALAYSIA
MYL1023OO000,CIMB GROUP HOLDIN ,821,MALAYSIA
MYL7277OO006,DIALOG GROUP BERHAD ,822,MALAYSIA
MYL3034OO005,HAP SENG CONSOLIDATE ,823,MALAYSIA
MYL5222OO004,FGV HOLDINGS BHD ,824,MALAYSIA
MYL5398OO002,GAMUDA BERHAD ,825,MALAYSIA
MYL3182OO002,GENTING BHD ,826,MALAYSIA
MYL5168OO009,HARTALEGA HOLDINGS ,827,MALAYSIA
MYL5819OO007,HONG LEONG BANK BHD ,828,MALAYSIA
MYL1082OO006,HONG LEONG FIN ,829,MALAYSIA
MYL5225OO007,IHH HEALTHCARE ,830,MALAYSIA
MYL3336OO004,IJM CORPORATION BHD ,831,MALAYSIA
MYL1961OO001,IOI CORPORATION BHD ,832,MALAYSIA
MYL5249OO007,IOI PROPERTIES GROUP ,833,MALAYSIA
MYL2445OO004,KUALA LUMPUR KEPONG ,834,MALAYSIA
